Name,Firma,Team,Zeit,Event Name,Signature,RecordPath,Event End Time,Total Attendees
Skyler Davis,Lieblingsimmobilien,Team,2024-10-17 11:03:37,,,,2024-10-17 11:04:28,3
Drew Davis,4K Analytics,Data Science,2024-10-17 11:03:43,,,,2024-10-17 11:04:28,3
Jordan Jones,Termingo,Geschäftsführung,2024-10-17 11:04:08,,signatures/Jordan_Jones.png,attendee_records/Jordan_Jones_20241017_110408.pdf,2024-10-17 11:04:28,3
